                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6046,                0.34137,                 1.0643,                0.98777,                0.98438,                0.99311,                0.83163,                0.78922,                0.37566,                 1.1544,              0.0015512,              0.0015512,              0.0015512
                     36,                0.59879,                0.33174,                 1.0597,                0.98992,                0.98596,                0.99425,                 0.8289,                0.79308,                0.36662,                  1.156,               0.001538,               0.001538,               0.001538
                     37,                0.62244,                0.33786,                 1.0773,                 0.9832,                0.98382,                0.99249,                0.80508,                0.81194,                 0.4126,                 1.1771,              0.0015248,              0.0015248,              0.0015248
                     38,                0.59693,                0.33551,                 1.0555,                0.98862,                0.97879,                0.99352,                0.81526,                0.79685,                0.37789,                 1.1434,              0.0015116,              0.0015116,              0.0015116
                     39,                 0.6199,                 0.3429,                 1.0592,                0.98993,                 0.9878,                0.99433,                0.83049,                 0.7736,                 0.3576,                 1.1336,              0.0014984,              0.0014984,              0.0014984
                     40,                0.60298,                0.32824,                 1.0546,                0.99078,                 0.9894,                0.99413,                0.82745,                0.77805,                0.36693,                 1.1463,              0.0014852,              0.0014852,              0.0014852
                     41,                0.61256,                0.32892,                 1.0663,                0.98777,                 0.9917,                0.99421,                0.82243,                 0.7841,                0.36431,                 1.1449,               0.001472,               0.001472,               0.001472
                     42,                0.61643,                0.33734,                 1.0641,                0.98616,                0.98493,                0.99371,                0.81735,                0.79376,                 0.3615,                 1.1513,              0.0014588,              0.0014588,              0.0014588
                     43,                0.60101,                0.32562,                 1.0566,                0.99028,                0.98717,                0.99403,                0.83319,                0.77036,                0.36898,                  1.127,              0.0014456,              0.0014456,              0.0014456
                     44,                0.60472,                0.33203,                 1.0636,                0.98922,                0.99051,                0.99416,                0.82354,                0.78654,                 0.3705,                 1.1367,              0.0014324,              0.0014324,              0.0014324
                     45,                 0.6004,                 0.3204,                 1.0568,                0.99103,                0.98649,                0.99419,                0.82344,                0.78583,                0.35183,                 1.1421,              0.0014192,              0.0014192,              0.0014192
                     46,                0.61055,                 0.3247,                 1.0565,                0.99105,                0.98914,                0.99424,                0.82212,                0.79515,                0.36373,                 1.1406,               0.001406,               0.001406,               0.001406
                     47,                0.59936,                0.32081,                 1.0481,                0.99174,                0.98438,                0.99423,                0.82672,                0.77986,                 0.3622,                 1.1345,              0.0013928,              0.0013928,              0.0013928
                     48,                0.59827,                0.31939,                 1.0491,                0.98998,                0.99238,                 0.9945,                0.84247,                0.76162,                0.33676,                 1.1299,              0.0013796,              0.0013796,              0.0013796
                     49,                0.60162,                0.32214,                 1.0537,                0.99081,                0.99275,                 0.9941,                0.83863,                 0.7444,                0.34016,                 1.1177,              0.0013664,              0.0013664,              0.0013664
                     50,                0.58694,                0.31461,                 1.0482,                0.98751,                0.98828,                0.99357,                0.81974,                0.78035,                0.35523,                 1.1388,              0.0013532,              0.0013532,              0.0013532
                     51,                0.61396,                0.32258,                 1.0574,                0.98664,                0.98902,                 0.9939,                0.83855,                0.76911,                0.36313,                 1.1355,                0.00134,                0.00134,                0.00134
                     52,                0.58561,                0.30442,                 1.0437,                0.99397,                0.98828,                0.99464,                0.82829,                 0.7732,                0.34327,                 1.1311,              0.0013268,              0.0013268,              0.0013268
                     53,                0.60927,                 0.3229,                 1.0568,                0.98999,                0.99361,                0.99454,                0.85519,                 0.7676,                0.34259,                 1.1243,              0.0013136,              0.0013136,              0.0013136
                     54,                0.59534,                0.31318,                 1.0564,                0.99406,                0.99219,                0.99453,                0.84285,                0.79589,                0.34966,                 1.1544,              0.0013004,              0.0013004,              0.0013004
                     55,                0.58464,                0.30659,                 1.0542,                0.99398,                0.98996,                0.99475,                0.82671,                0.79248,                0.34546,                 1.1569,              0.0012872,              0.0012872,              0.0012872
                     56,                0.60435,                0.31513,                 1.0582,                0.98882,                0.98669,                0.99426,                0.83291,                0.76839,                0.35014,                 1.1358,               0.001274,               0.001274,               0.001274
                     57,                 0.5903,                0.30726,                 1.0451,                0.99263,                0.99219,                0.99438,                0.83058,                0.74843,                0.32645,                 1.1184,              0.0012608,              0.0012608,              0.0012608
                     58,                0.58509,                0.30204,                 1.0447,                 0.9907,                0.98884,                 0.9939,                0.83563,                0.75851,                0.33765,                 1.1213,              0.0012476,              0.0012476,              0.0012476
                     59,                0.59021,                0.31358,                 1.0483,                0.99217,                0.99033,                0.99457,                 0.8332,                0.77077,                0.33001,                 1.1415,              0.0012344,              0.0012344,              0.0012344
                     60,                0.59008,                0.30892,                 1.0477,                0.99274,                0.99219,                0.99475,                0.83056,                0.76513,                0.34088,                 1.1262,              0.0012212,              0.0012212,              0.0012212
                     61,                 0.5867,                0.30348,                 1.0441,                0.99444,                0.98996,                0.99455,                0.83598,                0.75205,                0.32982,                 1.1162,               0.001208,               0.001208,               0.001208
                     62,                0.59394,                 0.3263,                 1.0494,                0.99385,                0.99143,                 0.9946,                0.84837,                0.74711,                0.31528,                 1.1151,              0.0011948,              0.0011948,              0.0011948
                     63,                0.58255,                  0.301,                 1.0456,                0.99125,                0.98996,                0.99458,                0.84967,                0.75276,                0.31534,                 1.1179,              0.0011816,              0.0011816,              0.0011816
                     64,                0.59537,                0.30366,                 1.0491,                0.98991,                0.99163,                0.99419,                0.83384,                0.76538,                0.34045,                 1.1239,              0.0011684,              0.0011684,              0.0011684
                     65,                0.59273,                0.30483,                 1.0426,                0.99167,                0.99051,                0.99418,                0.84269,                0.74529,                0.33037,                 1.1113,              0.0011552,              0.0011552,              0.0011552
                     66,                0.58071,                0.30316,                 1.0446,                0.99385,                0.99153,                0.99458,                0.85753,                0.75278,                0.31918,                  1.115,               0.001142,               0.001142,               0.001142
                     67,                 0.5873,                0.29974,                 1.0487,                0.99161,                 0.9894,                0.99432,                0.84177,                 0.7754,                 0.3318,                 1.1436,              0.0011288,              0.0011288,              0.0011288
                     68,                0.58702,                0.30281,                 1.0498,                0.99108,                0.99178,                0.99417,                0.84797,                  0.734,                0.33809,                 1.1067,              0.0011156,              0.0011156,              0.0011156
                     69,                0.56854,                0.28725,                 1.0352,                0.99265,                0.99163,                0.99433,                 0.8469,                0.74778,                0.32633,                 1.1199,              0.0011024,              0.0011024,              0.0011024
                     70,                0.59458,                0.29679,                 1.0445,                 0.9903,                0.99051,                0.99413,                 0.8405,                0.74219,                0.33113,                 1.1181,              0.0010892,              0.0010892,              0.0010892
                     71,                0.57491,                0.29163,                 1.0441,                0.99161,                0.98955,                0.99428,                0.84734,                0.76198,                0.34155,                 1.1398,               0.001076,               0.001076,               0.001076
                     72,                0.60145,                0.30356,                 1.0493,                0.99442,                0.99163,                 0.9945,                0.85346,                0.74098,                0.31879,                 1.1185,              0.0010628,              0.0010628,              0.0010628
                     73,                0.57932,                0.29405,                 1.0428,                 0.9922,                0.99421,                0.99449,                0.84771,                  0.759,                0.32084,                 1.1327,              0.0010496,              0.0010496,              0.0010496
                     74,                0.58866,                0.30007,                 1.0441,                0.99439,                0.98843,                0.99451,                0.85395,                0.74302,                0.31711,                 1.1188,              0.0010364,              0.0010364,              0.0010364
                     75,                 0.5681,                0.28684,                 1.0348,                 0.9942,                0.99275,                 0.9946,                0.85557,                 0.7384,                0.32007,                 1.1135,              0.0010232,              0.0010232,              0.0010232
                     76,                0.59354,                0.29809,                 1.0479,                0.99096,                0.99609,                0.99464,                0.84891,                0.74242,                0.31807,                 1.1156,                0.00101,                0.00101,                0.00101
                     77,                0.57525,                0.28658,                 1.0402,                0.99111,                0.99721,                0.99447,                0.85505,                0.72051,                0.30139,                 1.0982,              0.0009968,              0.0009968,              0.0009968
                     78,                0.57782,                0.28699,                 1.0397,                0.99321,                 0.9933,                0.99467,                0.84884,                0.74598,                0.31714,                 1.1117,              0.0009836,              0.0009836,              0.0009836
                     79,                0.56964,                0.29173,                 1.0386,                0.99249,                0.99721,                0.99439,                0.85613,                0.73056,                 0.3119,                 1.1049,              0.0009704,              0.0009704,              0.0009704
                     80,                0.57639,                0.29326,                 1.0419,                0.99363,                0.99219,                 0.9945,                0.85428,                 0.7283,                0.29657,                 1.0971,              0.0009572,              0.0009572,              0.0009572
                     81,                0.56499,                0.28581,                 1.0391,                0.99401,                 0.9933,                0.99465,                0.84118,                0.73038,                0.31312,                 1.1123,               0.000944,               0.000944,               0.000944
                     82,                0.56714,                0.27514,                 1.0302,                0.99219,                0.99257,                0.99466,                0.85107,                0.72363,                0.31335,                 1.1059,              0.0009308,              0.0009308,              0.0009308
                     83,                0.56855,                 0.2789,                 1.0371,                0.99433,                0.99442,                0.99463,                0.85644,                0.72349,                0.29514,                 1.1033,              0.0009176,              0.0009176,              0.0009176
                     84,                0.55668,                0.27612,                 1.0312,                0.98943,                0.99222,                0.99439,                0.85264,                0.75966,                0.30901,                  1.123,              0.0009044,              0.0009044,              0.0009044
                     85,                0.58334,                0.28635,                 1.0452,                0.99553,                0.99405,                0.99463,                0.85897,                0.70351,                0.29767,                 1.0878,              0.0008912,              0.0008912,              0.0008912
                     86,                0.56268,                0.27753,                 1.0298,                0.99459,                0.99609,                0.99475,                0.86564,                0.72058,                0.30529,                 1.1014,               0.000878,               0.000878,               0.000878
